gps_x,gps_y,gps_z,fused_x,fused_y,fused_z
0.0,0.0,0.0,4.328141137838126e-15,1.1858789516049198e-16,-7.22664690631083e-17
0.0,0.0,0.0,5.834791938993357e-11,7.483685535411882e-13,8.538544326645895e-12
0.0,0.0,0.0,1.3715206515324584e-10,-1.2543846550238548e-14,3.9890557612321e-11
0.0,0.0,0.0,2.7113782265038425e-10,-2.997360987065785e-12,1.121150420268809e-10
0.0,0.0,0.0,5.270745745065086e-10,-1.0018405217382706e-11,2.64838424586816e-10
0.0,0.0,0.0,9.717989246152963e-10,-2.407547220131099e-11,5.509911917889703e-10
0.0,0.0,0.0,1.671715748220755e-09,-4.906457312747775e-11,1.0334049033066988e-09
0.0,0.0,0.0,2.6868579018131647e-09,-8.95869016967516e-11,1.7809534051505277e-09
0.0,0.0,0.0,4.0577075670137016e-09,-1.5061836213780236e-10,2.861036236053399e-09
0.0,0.0,0.0,5.785173009745767e-09,-2.3691662237154706e-10,4.327141920299451e-09
0.0,0.0,0.0,7.803390331899306e-09,-3.5207740098666143e-10,6.20040764342757e-09
0.0,0.0,0.0,9.945174964530684e-09,-4.971602849175763e-10,8.444232858848918e-09
0.0,0.0,0.0,1.1900690678904819e-08,-6.688186137605209e-10,1.0931379017933963e-08
0.0,0.0,0.0,1.317114293963117e-08,-8.56898101337055e-10,1.3403683848901486e-08
0.0,0.0,0.0,1.3021067704993472e-08,-1.0415215814177315e-09,1.542561969537961e-08
0.0,0.0,0.0,1.0435119916656874e-08,-1.1897588835892316e-09,1.6334514723219343e-08
0.0,0.0,0.0,4.088179569039538e-09,-1.2520973200289188e-09,1.5192403289019296e-08
0.0,0.0,0.0,-7.658965954512344e-09,-1.159084355074278e-09,1.074721522855249e-08
0.0,0.0,0.0,-2.6722289175615373e-08,-8.187120156270771e-10,1.414334553094844e-09
0.0,0.0,0.0,-5.51955652498472e-08,-1.1535054841562175e-10,-1.4706649623742153e-08
0.0,0.0,0.0,-9.51663000479769e-08,1.0886915810570116e-09,-3.976114214952378e-08
0.0,0.0,0.0,-1.4842061143371718e-07,2.947620323554596e-09,-7.599194893751701e-08
