gps_x,gps_y,gps_z,fused_x,fused_y,fused_z
0.0,0.0,0.0,-4.578437747189477e-05,-2.6548912870657973e-07,-1.0299403395843357e-05
0.0,0.0,0.0,-8.07912644803828e-05,8.533005609627924e-07,-3.2961502548263906e-05
0.0,0.0,0.0,-0.00012564410570826512,2.5055512074613762e-06,-6.44451830000841e-05
0.0,0.0,0.0,-0.00018029123420673968,4.7871293901576375e-06,-0.00010580795502522795
0.0,0.0,0.0,-0.00024340781984505413,7.768786875453902e-06,-0.0001574573671473427
0.0,0.0,0.0,-0.0003118377664204887,1.1472844138576e-05,-0.00021872840585624215
0.0,0.0,0.0,-0.00037995036185380353,1.584274620199287e-05,-0.00028735644928428074
0.0,0.0,0.0,-0.00043894490517905734,2.0705303961135652e-05,-0.00035885331382637197
0.0,0.0,0.0,-0.00047616199795663623,2.572625645532251e-05,-0.0004258105119360021
0.0,0.0,0.0,-0.00047449264293365756,3.036099737807637e-05,-0.00047717675806998927
0.0,0.0,0.0,-0.00041201558337511927,3.3803967683409506e-05,-0.0004975867019642696
0.0,0.0,0.0,-0.00026203833256600775,3.4942370370637424e-05,-0.00046685501514383867
0.0,0.0,0.0,6.234377891243398e-06,3.232252099513227e-05,-0.0003597936788723772
0.0,0.0,0.0,0.0004261337273355117,2.4140256309662702e-05,-0.00014655880288087008
0.0,0.0,0.0,0.0010308890165970164,8.26636628037107e-06,0.0002062610557536894
0.0,0.0,0.0,0.0018502674231230018,-1.769376789546898e-05,0.0007337312713873818
0.0,0.0,0.0,0.002907482371054539,-5.632617275366142e-05,0.0014700047911219512
0.0,0.0,0.0,0.004217279825895459,-0.00011035076169191391,0.00244556308824581
0.0,0.0,0.0,0.00578536774306207,-0.00018260664287714855,0.0036848809691232445
0.0,0.0,0.0,0.007608834436411546,-0.0002760810867499833,0.0052049783176821626
0.0,0.0,0.0,0.009677107499233463,-0.0003939347365896674,0.007015058789241109
0.0,0.0,0.0,0.011973014684252919,-0.0005394458136877944,0.009117331302899403
0.0,0.0,0.0,0.014473585148971879,-0.0007158449923202916,0.011508880400899018
0.0,0.0,0.0,0.017150427168596744,-0.0009261054417711844,0.014184010113925323
0.0,0.0,0.0,0.019969795992912577,-0.001172781199417244,0.0171363123258502
0.0,0.0,0.0,0.022892701576831317,-0.0014579404030871158,0.020359953592094877
0.0,0.0,0.0,0.025875408389338245,-0.0017831934207292338,0.023850089872132035
0.0,0.0,0.0,0.02887047371342165,-0.0021497883660191873,0.027602703034907364
0.0,0.0,0.0,0.03182828639847253,-0.0025587038754174576,0.031614336528799525
0.0,0.0,0.0,0.034698985742983635,-0.003010634367477773,0.035882124713238726
0.0,0.0,0.0,0.037434602650760096,-0.003505813435277496,0.04040419168779024
0.0,0.0,0.0,0.03999124143194023,-0.004043737216122069,0.04518011676543444
0.0,0.0,0.0,0.0423311052100732,-0.004622921546266622,0.05021104038987553
0.0,0.0,0.0,0.044424199137785364,-0.005240822828312453,0.055499126691518304
0.0,0.0,0.0,0.046249651890241966,-0.005893993042794638,0.06104632179656539
0.0,0.0,0.0,0.04779662000155323,-0.0065784183323808355,0.06685273459302583
0.0,0.0,0.0,0.04906459926525885,-0.007289877652701061,0.07291539053024193
0.0,0.0,0.0,0.050062926282920285,-0.008024174531298018,0.07922803711468514
0.0,0.0,0.0,0.05080943715091826,-0.00877721284606995,0.08578210258013617
0.0,0.0,0.0,0.05132846782963471,-0.009544969605202765,0.09256834577479256
0.0,0.0,0.0,0.051648519768496194,-0.010323428057078086,0.09957848053590336
0.0,0.0,0.0,0.051799982188646544,-0.011108523228335035,0.10680619954009524
0.0,0.0,0.0,0.05181327377360792,-0.011896140100507675,0.11424742473680996
0.0,0.0,0.0,0.05171758449855851,-0.012682185409848987,0.12189992497707075
0.0,0.0,0.0,0.05154013753053645,-0.013462734641796597,0.129762541217196
0.0,0.0,0.0,0.05130575222606236,-0.01423425660006953,0.13783422982567664
0.0,0.0,0.0,0.051036520067305004,-0.014993925234328551,0.14611305877366598
0.0,0.0,0.0,0.05075151018673724,-0.015739996150257687,0.15459525325953208
0.0,0.0,0.0,0.05046652321254371,-0.01647217361602476,0.16327438930503133
0.0,0.0,0.0,0.05019395200556199,-0.017191906262092868,0.17214080252317862
0.0,0.0,0.0,0.04994278838594477,-0.01790261599012766,0.1811812015431156
0.0,0.0,0.0,0.04971879796092524,-0.0186098861025035,0.19037839613307736
0.0,0.0,0.0,0.04952488558832181,-0.019321594297380437,0.19971101500542418
0.0,0.0,0.0,0.04936165156824989,-0.020047946675552996,0.20915313327105808
0.0,0.0,0.0,0.04922807165651945,-0.020801395427541135,0.21867380872427866
0.0,0.0,0.0,0.049122183552961364,-0.021596455698018796,0.22823660073643318
0.0,0.0,0.0,0.049041719255963984,-0.022449381785188047,0.23779930778162892
0.0,0.0,0.0,0.048984729479516854,-0.023377557229068494,0.2473143419224549
0.0,0.0,0.0,0.0489502352158274,-0.02439845153379469,0.25673006828962835
0.0,0.0,0.0,0.048938832131548204,-0.025528144092577285,0.26599303937707636
0.0,0.0,0.0,0.04895315606831838,-0.026779657236405893,0.2750505727489354
0.0,0.0,0.0,0.04899820518459884,-0.028161537817608783,0.2838528377103261
0.0,0.0,0.0,0.04908154653916176,-0.029677051770104188,0.2923538646335392
0.0,0.0,0.0,0.04921336992153465,-0.03132403570315188,0.3005115170095613
0.0,0.0,0.0,0.04940627235222844,-0.03309521254967226,0.3082868734830207
0.0,0.0,0.0,0.04967460738113903,-0.03497877790327121,0.31564351036586313
0.0,0.0,0.0,0.050033287090823934,-0.03695916661498857,0.32254707240108704
0.0,0.0,0.0,0.05049623453081409,-0.03901796971237147,0.3289653092311962
0.0,0.0,0.0,0.0510750667172099,-0.041134955579154565,0.33486849451237194
0.0,0.0,0.0,0.05177852920815541,-0.0432890723930361,0.34023002524661156
0.0,0.0,0.0,0.05261274255934424,-0.04545924016016225,0.3450270736882336
0.0,0.0,0.0,0.053582002708173156,-0.04762479141172883,0.3492413129119471
0.0,0.0,0.0,0.0546898001423195,-0.0497655458982792,0.35285977364760723
0.0,0.0,0.0,0.0559397200783784,-0.051861582179075785,0.35587573907695474
0.0,0.0,0.0,0.057336064513465415,-0.0538928470821027,0.35828940638585394
0.0,0.0,0.0,0.05888432005599567,-0.055838851504021514,0.36010801394236885
0.0,0.0,0.0,0.06059158637274875,-0.05767870693182849,0.361345302685587
0.0,0.0,0.0,0.06246680266499759,-0.05939161325042518,0.3620204488102677
0.0,0.0,0.0,0.06452050162818411,-0.060957675696312545,0.362156762569018
0.0,0.0,0.0,0.06676400111130579,-0.062358722613238736,0.3617804478511529
0.0,0.0,0.0,0.06920822903281161,-0.06357878526406795,0.36091966557285543
0.0,0.0,0.0,0.07186258828683738,-0.06460408702233185,0.35960405665359446
0.0,0.0,0.0,0.07473422965034479,-0.06542261167780007,0.357864687129753
0.0,0.0,0.0,0.07782785311221933,-0.06602347135460312,0.3557341472918606
0.0,0.0,0.0,0.0811459497312599,-0.06639631371613056,0.3532464713643195
0.0,0.0,0.0,0.08468930276750218,-0.06653091103213445,0.3504366865487973
0.0,0.0,0.0,0.08845750109239015,-0.06641694718881115,0.3473400399814045
0.0,0.0,0.0,0.0924491704015094,-0.06604394018019803,0.34399114511755463
0.0,0.0,0.0,0.09666171355097707,-0.06540125872365814,0.3404232635042161
0.0,0.0,0.0,0.10109065265840561,-0.06447824890945701,0.3366677449106313
0.0,0.0,0.0,0.10572896917748004,-0.06326448127621032,0.3327535374378473
0.0,0.0,0.0,0.1105667873906316,-0.06175010447859652,0.3287067203453114
0.0,0.0,0.0,0.1155914013156198,-0.05992630532418495,0.3245500810729317
0.0,0.0,0.0,0.12078738438762776,-0.05778589107551767,0.3203027406872076
0.0,0.0,0.0,0.12613652749940302,-0.055323995751912367,0.31597976907629194
0.0,0.0,0.0,0.13161763530934284,-0.05253885963044605,0.3115917703458267
0.0,0.0,0.0,0.13720655203666518,-0.049432546687974914,0.30714456529338974
0.0,0.0,0.0,0.14287674106790454,-0.04601136921440424,0.3026392202279935
0.0,0.0,0.0,0.14860034210835915,-0.04228576468170094,0.29807267449364244
0.0,0.0,0.0,0.15434936888968,-0.03826955911696019,0.29343904124428083
0.0,0.0,0.0,0.1600967375854649,-0.03397885358312432,0.2887313719934142
0.0,0.0,0.0,0.16581694961922824,-0.029430851971137144,0.2839434923531647
0.0,0.0,0.0,0.17148639066865623,-0.024642778828343984,0.27907151627202786
0.0,0.0,0.0,0.17708334589349634,-0.01963087024280701,0.27411479145058754
0.0,0.0,0.0,0.18258799055667815,-0.014409341789666203,0.26907623010404735
0.0,0.0,0.0,0.18798271334130265,-0.008989219336017179,0.26396210340932985
0.0,0.0,0.0,0.19325300474789214,-0.003377014438052648,0.2587814078820162
0.0,0.0,0.0,0.19838883028102497,0.002426602073903739,0.25354493487573654
0.0,0.0,0.0,0.2033860961829155,0.008427881076506029,0.2482642385841109
0.0,0.0,0.0,0.20824763988742742,0.014640563732153566,0.24295076004289765
0.0,0.0,0.0,0.21298323938496674,0.021085570885229055,0.23761532724034545
0.0,0.0,0.0,0.21760841050426286,0.02778938181250693,0.23226810062900913
0.0,0.0,0.0,0.2221421029330873,0.034781014890249935,0.22691883549357972
0.0,0.0,0.0,0.22660372272346274,0.042088177884173086,0.2215771674192368
0.0,0.0,0.0,0.23101015658202753,0.04973357215612163,0.2162525946931964
0.0,0.0,0.0,0.23537356094821382,0.05773230480752631,0.21095393755234484
0.0,0.0,0.0,0.23970044435749846,0.0660909705093015,0.20568822936971579
0.0,0.0,0.0,0.24399206186574388,0.07480838198478972,0.20045924593168615
0.0,0.0,0.0,0.2482457084782473,0.08387747324462852,0.19526613553309508
0.0,0.0,0.0,0.2524563234273243,0.093287649460104,0.19010268541360373
0.0,0.0,0.0,0.25661784548147626,0.10302677737531227,0.18495758891609107
0.0,0.0,0.0,0.2607240229129811,0.1130823108856829,0.17981571110207253
0.0,0.0,0.0,0.26476877637113233,0.12344160206941276,0.17465996373710554
0.0,0.0,0.0,0.26874643295571093,0.13409171997171768,0.16947330053428236
0.0,0.0,0.0,0.2726520951883896,0.14501899501673954,0.16424055024831147
0.0,0.0,0.0,0.27648217460731916,0.15620835814700867,0.1589500645573556
0.0,0.0,0.0,0.2802348632563411,0.1676425027165678,0.15359529405250708
0.0,0.0,0.0,0.2839102548751884,0.1793009440035141,0.1481763170315296
0.0,0.0,0.0,0.2875099818961085,0.19115913826250983,0.1427011055005455
0.0,0.0,0.0,0.29103643725920364,0.20318787579028486,0.1371861627721693
0.0,0.0,0.0,0.29449178574199064,0.2153531663041145,0.13165617341072
0.0,0.0,0.0,0.29787697249253464,0.227616812839185,0.12614240967268608
0.0,0.0,0.0,0.3011908503907989,0.23993775541124662,0.12067992087047223
0.0,0.0,0.0,0.3044295077296075,0.25227400750606155,0.11530400031527424
0.0,0.0,0.0,0.3075858992300489,0.2645848194853084,0.11004669910508638
0.0,0.0,0.0,0.3106498806733689,0.2768327927264857,0.10493392427060776
0.0,0.0,0.0,0.31360866010572885,0.2889857785868668,0.09998327628150833
0.0,0.0,0.0,0.31644751172325175,0.30101828602134884,0.09520271064108476
0.0,0.0,0.0,0.3191504922133392,0.31291209118871693,0.0905901837940825
0.0,0.0,0.0,0.3217010045879753,0.32465598733859474,0.08613434003746227
0.0,0.0,0.0,0.3240822765231884,0.3362448514414186,0.08181612247724604
0.0,0.0,0.0,0.32627793386364407,0.3476782490609045,0.07761115097718378
